tradingSymbol,percentChange,symbolToken,opnInterest,netChangeOpnInterest,DataType,ExpiryType,Endpoint,ltp,netChange
SBILIFE28OCT25FUT,8.15,52513,2876250,216750.0,PercOIGainers,NEAR,gainersLosers,,
ITC28OCT25FUT,4.31,52414,66513600,2747200.0,PercOIGainers,NEAR,gainersLosers,,
LT28OCT25FUT,3.84,52442,8881075,328300.0,PercOIGainers,NEAR,gainersLosers,,
HDFCBANK28OCT25FUT,3.72,52364,78708300,2822600.0,PercOIGainers,NEAR,gainersLosers,,
ABCAPITAL28OCT25FUT,3.5,52172,26229100,886600.0,PercOIGainers,NEAR,gainersLosers,,
POWERGRID28OCT25FUT,3.33,52504,45482200,1466800.0,PercOIGainers,NEAR,gainersLosers,,
ICICIGI28OCT25FUT,3.3,52375,2444000,78000.0,PercOIGainers,NEAR,gainersLosers,,
MCX28OCT25FUT,3.26,52457,1143750,36125.0,PercOIGainers,NEAR,gainersLosers,,
VBL28OCT25FUT,3.13,52563,14915800,452025.0,PercOIGainers,NEAR,gainersLosers,,
SBIN28OCT25FUT,2.98,52514,38309250,1107000.0,PercOIGainers,NEAR,gainersLosers,,
PPLPHARMA28OCT25FUT,-7.25,52505,8310000,-650000.0,PercOILosers,NEAR,gainersLosers,,
TATATECH28OCT25FUT,-7.38,52538,4308800,-343200.0,PercOILosers,NEAR,gainersLosers,,
HAVELLS28OCT25FUT,-7.5,52353,3381000,-274000.0,PercOILosers,NEAR,gainersLosers,,
CAMS28OCT25FUT,-7.53,52302,873300,-71100.0,PercOILosers,NEAR,gainersLosers,,
ASTRAL28OCT25FUT,-8.01,52217,2566575,-223550.0,PercOILosers,NEAR,gainersLosers,,
KAYNES28OCT25FUT,-9.4,52425,593100,-61500.0,PercOILosers,NEAR,gainersLosers,,
SBICARD28OCT25FUT,-9.44,52512,7692800,-801600.0,PercOILosers,NEAR,gainersLosers,,
NCC28OCT25FUT,-9.56,52465,8507700,-899100.0,PercOILosers,NEAR,gainersLosers,,
UNIONBANK28OCT25FUT,-9.87,52559,24164925,-2646150.0,PercOILosers,NEAR,gainersLosers,,
KFINTECH28OCT25FUT,-15.49,52429,1048500,-192150.0,PercOILosers,NEAR,gainersLosers,,
COFORGE28OCT25FUT,4.55,52309,,,PercPriceGainers,NEAR,gainersLosers,1839.4,80.0
SBILIFE28OCT25FUT,3.24,52513,,,PercPriceGainers,NEAR,gainersLosers,1898.7,59.5
ASHOKLEY28OCT25FUT,2.77,52215,,,PercPriceGainers,NEAR,gainersLosers,140.42,3.79
MPHASIS28OCT25FUT,2.65,52460,,,PercPriceGainers,NEAR,gainersLosers,2890.0,74.7
HINDPETRO28OCT25FUT,2.64,52369,,,PercPriceGainers,NEAR,gainersLosers,450.4,11.6
BPCL28OCT25FUT,2.63,52291,,,PercPriceGainers,NEAR,gainersLosers,339.35,8.7
RBLBANK28OCT25FUT,2.37,52507,,,PercPriceGainers,NEAR,gainersLosers,324.15,7.5
IOC28OCT25FUT,2.35,52406,,,PercPriceGainers,NEAR,gainersLosers,153.9,3.53
MCX28OCT25FUT,2.19,52457,,,PercPriceGainers,NEAR,gainersLosers,9201.0,197.0
BANKINDIA28OCT25FUT,2.17,52266,,,PercPriceGainers,NEAR,gainersLosers,136.65,2.9
BAJFINANCE28OCT25FUT,-0.72,52241,,,PercPriceLosers,NEAR,gainersLosers,1081.55,-7.85
ADANIGREEN28OCT25FUT,-0.74,52175,,,PercPriceLosers,NEAR,gainersLosers,1022.2,-7.6
VOLTAS28OCT25FUT,-0.75,52567,,,PercPriceLosers,NEAR,gainersLosers,1432.8,-10.8
BEL28OCT25FUT,-0.83,52274,,,PercPriceLosers,NEAR,gainersLosers,418.05,-3.5
MANAPPURAM28OCT25FUT,-0.88,52448,,,PercPriceLosers,NEAR,gainersLosers,277.35,-2.45
